Full Path,URL,Size
Resources/3rd Year/6th semester/CC/Book/CLOUD COMPUTING (BOOK).pdf,https://drive.google.com/file/d/1sg3fWi9GcChfLFvwoM24x6O96tAc76n4/view?usp=drivesdk,12877.837890625
Resources/3rd Year/6th semester/CC/Previous Year Papers,,
Resources/3rd Year/6th semester/CC/Previous Year Papers/CC-question bank.docx,https://docs.google.com/document/d/1K5vUoN2i3rHbCbrzUBwlolEEdjSP8FRS/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,25.8505859375
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester B Tech   Cloud Computing  IT-3022(Regular & Back) â Mid Sem 2016 (1).pdf,https://drive.google.com/file/d/1DqxNdxEqb4Ozkd-6w3uVT5rpUf1PqTIX/view?usp=drivesdk,397.4345703125
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester B Tech   Cloud Computing  IT-3022(Regular & Back) â Mid Sem 2016.pdf,https://drive.google.com/file/d/11QbVOmjITaaYQpjslQ1m_XuSNp9GA-Ot/view?usp=drivesdk,397.4345703125
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester B Tech   Cloud Computing  IT-4025( Regular 2014 & Back of Previous Admitted  Batches ) â Autumn End Sem 2017.pdf,https://drive.google.com/file/d/1rBOVsLVvPkYs92YFaxAfgcxr-L5AlgYD/view?usp=drivesdk,452.4873046875
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester B Tech  Cloud Computing  IT-4025 â  Autumn Mid Sem 2017 (1).pdf,https://drive.google.com/file/d/1aXozdtmS_8Of4FT1T07KFG9glYNTZhuv/view?usp=drivesdk,414.2822265625
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester B Tech  Cloud Computing  IT-4025 â  Autumn Mid Sem 2017.pdf,https://drive.google.com/file/d/1Zs4IVJSkBz8T9xJmC_vLTdczIxN_LsE5/view?usp=drivesdk,414.2822265625
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester  B.Tech   Cloud Computing  IT-4025 ( Regular 2013  Admitted Batch) â Autumn End  Sem 2016.pdf,https://drive.google.com/file/d/1XVKq9wIPVmHFm1iDLuEzVacMknJngyPK/view?usp=drivesdk,514.615234375
Resources/3rd Year/6th semester/CC/Previous Year Papers/7th Semester B.Tech   Cloud Computing IT-3022IT-4025(For 2016(L.E.) & 2015 Admitted Batch) â Autumn End  Sem 2018.pdf,https://drive.google.com/file/d/16POETd2fGZiV_5kszzY6i5_KWjZP6RIh/view?usp=drivesdk,537.8623046875
Resources/3rd Year/6th semester/CC/Previous Year Papers/8th Semester  B Tech  Cloud Computing  IT-4025( Regular 2017) â Mid Sem 2017.pdf,https://drive.google.com/file/d/1lT1qVS2px9jHiK5wn_lSlGyADwmvrUKO/view?usp=drivesdk,352.107421875
Resources/3rd Year/6th semester/CC/Previous Year Papers/Cloud Computing  IT-3022 â Spring  End  Semester Examination  2022.pdf,https://drive.google.com/file/d/13IzTEniZTs-1j_g9a54IdB6xnTAMobIz/view?usp=drivesdk,3126.0283203125
Resources/3rd Year/6th semester/CC/Previous Year Papers/Cloud Computing ( IT-3022)  Online Spring End Semester  Examination  2021.pdf,https://drive.google.com/file/d/14kabzT3AB5b-ockFa2XbfF8U1NvkQeIk/view?usp=drivesdk,430.537109375
Resources/3rd Year/6th semester/CC/Previous Year Papers/Colud Computing.pdf,https://drive.google.com/file/d/1utnMMLgV3LH79uQLAjmMdm1v4aOv9GcD/view?usp=drivesdk,3126.0283203125
Resources/3rd Year/6th semester/CC/Previous Year Papers/CC Second Question Bank Solutions.docx,https://docs.google.com/document/d/1Xk9YtPDqlp76eji9hDUUfGzQCWK7lMk2/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,65.7978515625
Resources/3rd Year/6th semester/CC/Previous Year Papers/CC Short Questions.docx,https://docs.google.com/document/d/13-Haqpxbpsl9o8R5e4X5N2EazgQHRwDC/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,5299.0244140625
Resources/3rd Year/6th semester/CC/Previous Year Papers/Second Question Bank.docx,https://docs.google.com/document/d/1vWBY6ZOyRvOvyK0mAdl7Db9AJmT5MruJ/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,13.3330078125
Resources/3rd Year/6th semester/CC/Previous Year Papers/CC-Midsem.pdf,https://drive.google.com/file/d/1v_3VS5EUNVFJfItnTkCVh5qS1cPTeMUn/view?usp=drivesdk,617.859375
Resources/3rd Year/6th semester/CC/Previous Year Papers/CC-question bank 2.docx,https://docs.google.com/document/d/1mgVskskzCzYRkH9xrmrSOXpGNhwhgt6m/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,9.2470703125
Resources/3rd Year/6th semester/CC/Syllabus,,
Resources/3rd Year/6th semester/CC/Syllabus/CC-handout 2021-22.pdf,https://drive.google.com/file/d/1Yd1uuyJuvoL2As4S8T9_QlT7Z6E6bNw2/view?usp=drivesdk,124.603515625
Resources/3rd Year/6th semester/ML,,
Resources/3rd Year/6th semester/ML/Book,,
Resources/3rd Year/6th semester/ML/Book/Machine - Learning - Tom Mitchell.pdf,https://drive.google.com/file/d/1Ym6kBMBvtMciWIN1vTnmT78XJvtCw46Y/view?usp=drivesdk,37888.0517578125
